up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
6.1.2.5.1,Armatori di gallerie e pozzi,78.125,65.625,78.125,50,59.375,43.75,43.75,62.5,56.25,56.25,71.875,68.75,68.75,59.375,71.875,68.75,68.75,68.75,56.25,31.25,34.375
6.1.2.5.2,Armatori di ferrovie,70.8333333333,70.8333333333,75,41.6666666667,47.9166666667,52.0833333333,79.1666666667,56.25,66.6666666667,64.5833333333,62.5,64.5833333333,77.0833333333,62.5,75,70.8333333333,75,77.0833333333,39.5833333333,35.4166666667,41.6666666667
6.1.2.6.1,Asfaltisti,72.7272727273,64.7727272727,73.8636363636,39.7727272727,38.6363636364,54.5454545455,53.4090909091,68.1818181818,40.9090909091,57.9545454545,50,59.0909090909,77.2727272727,65.9090909091,82.9545454545,72.619047619,75,65.4761904762,42.0454545455,45.2380952381,39.7727272727
6.1.2.6.2,Lastricatori e pavimentatori stradali,71.25,63.75,71.25,52.5,38.75,40,42.5,57.5,36.25,47.5,38.75,60,73.75,62.5,77.5,69.4444444444,76.3888888889,66.6666666667,26.25,26.3888888889,28.75
6.1.2.7.0,Montatori di manufatti prefabbricati e di preformati,71.25,75,73.75,50,60,55,56.25,71.25,52.5,55,70,62.5,72.5,65,70,58.3333333333,66.6666666667,59.7222222222,56.25,54.1666666667,61.25
6.1.3.1.0,Copritetti e impermeabilizzatori di solai,73.75,75,81.25,40,52.5,47.5,47.5,60,46.25,60,66.25,61.25,67.5,71.25,76.25,75,64.2857142857,67.8571428571,61.25,32.1428571429,67.5
6.1.3.2.1,Posatori di pavimenti,77.380952381,64.2857142857,73.8095238095,70.2380952381,63.0952380952,42.8571428571,44.0476190476,60.7142857143,28.5714285714,50,44.0476190476,54.7619047619,69.0476190476,57.1428571429,63.0952380952,62.5,79.1666666667,66.6666666667,57.1428571429,58.3333333333,60.7142857143
6.1.3.2.2,Rifinitori di pavimenti,69.4444444444,69.4444444444,72.2222222222,63.8888888889,45.8333333333,45.8333333333,38.8888888889,65.2777777778,41.6666666667,54.1666666667,51.3888888889,59.7222222222,58.3333333333,48.6111111111,69.4444444444,71.4285714286,60.7142857143,64.2857142857,63.8888888889,46.4285714286,69.4444444444
6.1.3.2.3,Piastrellisti e rivestimentisti in pietra e materiali assimilati,90.4761904762,73.8095238095,84.5238095238,76.1904761905,55.9523809524,50,46.4285714286,59.5238095238,35.7142857143,58.3333333333,44.0476190476,65.4761904762,71.4285714286,67.8571428571,77.380952381,80,75,75,58.3333333333,55,58.3333333333
6.1.3.2.4,Parchettisti e posatori di pavimenti e rivestimenti sintetici e in legno,79.5454545455,73.8636363636,71.5909090909,75,57.9545454545,51.1363636364,44.3181818182,55.6818181818,44.3181818182,56.8181818182,53.4090909091,63.6363636364,64.7727272727,67.0454545455,73.8636363636,65,70,60,62.5,60,72.7272727273
6.1.3.3.0,Intonacatori,82.5,73.75,81.25,61.25,47.5,51.25,51.25,65,43.75,60,57.5,61.25,68.75,62.5,65,72.5,67.5,75,62.5,55,57.5
6.1.3.4.0,Installatori di impianti di isolamento e insonorizzazione,80.3571428571,73.2142857143,85.7142857143,58.9285714286,71.4285714286,48.2142857143,41.0714285714,60.7142857143,44.6428571429,58.9285714286,69.6428571429,60.7142857143,71.4285714286,55.3571428571,78.5714285714,75,83.3333333333,75,67.8571428571,50,66.0714285714
6.1.3.5.0,Vetrai,76.25,66.25,82.5,68.75,68.75,50,58.75,70,47.5,58.75,63.75,65,72.5,68.75,75,83.3333333333,83.3333333333,83.3333333333,65,75,82.5
6.1.3.6.1,Idraulici nelle costruzioni civili,82.9545454545,81.8181818182,78.4090909091,67.0454545455,70.4545454545,60.2272727273,61.3636363636,67.0454545455,56.8181818182,61.3636363636,65.9090909091,73.8636363636,72.7272727273,68.1818181818,77.2727272727,71.875,68.75,50,63.6363636364,37.5,70.4545454545
6.1.3.6.2,Installatori di impianti termici nelle costruzioni civili,80,81.25,85,55,71.25,50,61.25,65,50,63.75,66.25,70,65,65,75,70,60,70,65,40,72.5
6.1.3.7.0,Elettricisti ed installatori di impianti elettrici nelle costruzioni civili,82.1428571429,77.380952381,80.9523809524,64.2857142857,71.4285714286,60.7142857143,59.5238095238,66.6666666667,64.2857142857,60.7142857143,66.6666666667,66.6666666667,72.619047619,72.619047619,73.8095238095,75,77.2727272727,68.1818181818,73.8095238095,63.6363636364,66.6666666667
6.1.3.8.0,Installatori di infissi e serramenti,86.25,76.25,78.75,58.75,78.75,47.5,52.5,71.25,52.5,57.5,56.25,70,70,76.25,78.75,62.5,50,37.5,68.75,50,71.25
6.1.4.1.1,Pittori edili,82,77,75,75,77,49,45,61,45,58,51,69,62,72,72,75,79.1666666667,62.5,72,66.6666666667,73
6.1.4.1.2,Decoratori e stuccatori edili,82.5,76.25,75,65,71.25,55,53.75,60,45,63.75,60,63.75,70,70,75,80,85,85,75,55,62.5
6.1.4.2.0,Pulitori di facciate,75,71.4285714286,78.5714285714,46.4285714286,57.1428571429,53.5714285714,46.4285714286,71.4285714286,67.8571428571,60.7142857143,71.4285714286,78.5714285714,78.5714285714,75,78.5714285714,66.6666666667,75,75,71.4285714286,58.3333333333,64.2857142857
6.1.5.1.0,Operai addetti ai servizi di igiene e pulizia,76.1363636364,63.6363636364,75,69.3181818182,68.1818181818,56.8181818182,63.6363636364,70.4545454545,55.6818181818,67.0454545455,57.9545454545,60.2272727273,71.5909090909,78.4090909091,70.4545454545,75,67.3076923077,73.0769230769,67.0454545455,55.7692307692,70.4545454545
6.1.5.2.0,Operai addetti alla manutenzione degli impianti fognari,76.25,62.5,67.5,50,56.25,55,61.25,60,40,57.5,58.75,63.75,72.5,73.75,70,72.9166666667,72.9166666667,60.4166666667,65,47.9166666667,60
6.2.1.1.1,Fonditori,70.652173913,71.7391304348,83.6956521739,73.9130434783,48.9130434783,48.9130434783,59.7826086957,69.5652173913,60.8695652174,57.6086956522,50,66.3043478261,77.1739130435,69.5652173913,75,79.4117647059,79.4117647059,76.4705882353,61.9565217391,55.8823529412,54.347826087
6.2.1.1.2,Formatori e animisti,73.75,68.75,81.25,71.25,53.75,47.5,61.25,68.75,57.5,61.25,62.5,72.5,72.5,66.25,78.75,71.6666666667,75,70,52.5,48.3333333333,55
6.2.1.2.0,Saldatori e tagliatori a fiamma,80.8823529412,69.1176470588,83.8235294118,79.4117647059,72.0588235294,57.3529411765,63.2352941176,70.5882352941,52.9411764706,57.3529411765,63.2352941176,67.6470588235,70.5882352941,66.1764705882,72.0588235294,78.125,81.25,75,64.7058823529,65.625,60.2941176471
6.2.1.3.1,Lattonieri e calderai,68.3333333333,71.6666666667,73.3333333333,61.6666666667,58.3333333333,63.3333333333,66.6666666667,66.6666666667,55,66.6666666667,48.3333333333,70,76.6666666667,68.3333333333,71.6666666667,77.0833333333,79.1666666667,75,60,43.75,41.6666666667
6.2.1.3.2,Tracciatori,84.6153846154,71.1538461538,75,71.1538461538,67.3076923077,63.4615384615,67.3076923077,71.1538461538,40.3846153846,63.4615384615,57.6923076923,71.1538461538,73.0769230769,69.2307692308,75,81.25,75,75,61.5384615385,56.25,53.8461538462
6.2.1.4.0,Carpentieri e montatori di carpenteria metallica,70.4545454545,67.0454545455,75,63.6363636364,61.3636363636,46.5909090909,48.8636363636,59.0909090909,52.2727272727,56.8181818182,63.6363636364,70.4545454545,64.7727272727,59.0909090909,61.3636363636,63.2352941176,57.3529411765,52.9411764706,54.5454545455,52.9411764706,50
